[GIN] 2022/07/11 - 10:11:57 | 200 |     35.3847ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:12:05 | 200 |      6.6583ms |     172.21.96.1 | PATCH    "/task_batch/cb42c8f3-baa1-4996-a5c9-61e43ad59174/"
[GIN] 2022/07/11 - 10:12:05 | 200 |     23.9754ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:13:35 | 200 |      5.9491ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:13:35 | 200 |     14.7061ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:13:35 | 200 |     86.1635ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:13:42 | 200 |     21.0355ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:13:50 | 200 |     17.0827ms |     172.21.96.1 | PATCH    "/task_batch/cb42c8f3-baa1-4996-a5c9-61e43ad59174/"
[GIN] 2022/07/11 - 10:13:50 | 200 |     30.6805ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:18:03 | 200 |      7.1943ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:18:03 | 200 |      9.5709ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:18:03 | 200 |     30.0972ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:18:10 | 200 |     34.3173ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:18:20 | 200 |      4.3336ms |     172.21.96.1 | PATCH    "/task_batch/cb42c8f3-baa1-4996-a5c9-61e43ad59174/"
[GIN] 2022/07/11 - 10:18:20 | 200 |     20.9513ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:20:38 | 200 |      4.3388ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:20:38 | 200 |     10.5014ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:20:38 | 200 |     31.5322ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:20:44 | 200 |     30.6622ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:20:50 | 200 |      9.1657ms |     172.21.96.1 | PATCH    "/task_batch/cb42c8f3-baa1-4996-a5c9-61e43ad59174/"
[GIN] 2022/07/11 - 10:20:50 | 200 |     23.0922ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:22:01 | 200 |      5.5672ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:22:01 | 200 |      5.3692ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:22:01 | 200 |     34.1587ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:22:07 | 200 |     21.4889ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:22:21 | 200 |      3.4269ms |     172.21.96.1 | PATCH    "/task_batch/cb42c8f3-baa1-4996-a5c9-61e43ad59174/"
[GIN] 2022/07/11 - 10:22:21 | 200 |     25.4176ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:23:42 | 200 |     12.8756ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:23:42 | 200 |     12.6503ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:23:42 | 200 |     52.5539ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:23:48 | 200 |     19.4971ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:23:52 | 200 |      6.3574ms |     172.21.96.1 | PATCH    "/task_batch/4e8d6c12-d65d-4a40-84ad-74a7a324fd19/"
[GIN] 2022/07/11 - 10:23:52 | 200 |     76.1895ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:25:48 | 200 |      8.0363ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:25:48 | 200 |      4.6855ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:25:48 | 200 |     41.2885ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:25:53 | 200 |     23.1346ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:25:59 | 200 |      9.1914ms |     172.21.96.1 | PATCH    "/task_batch/cb42c8f3-baa1-4996-a5c9-61e43ad59174/"
[GIN] 2022/07/11 - 10:25:59 | 200 |     81.2674ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:28:13 | 200 |      4.4971ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:28:13 | 200 |     16.4433ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:28:14 | 200 |     36.6148ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:28:19 | 200 |     31.5073ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:28:24 | 200 |      8.9932ms |     172.21.96.1 | PATCH    "/task_batch/cb42c8f3-baa1-4996-a5c9-61e43ad59174/"
[GIN] 2022/07/11 - 10:28:24 | 200 |     66.8668ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:29:39 | 200 |      6.6776ms |     172.21.96.1 | GET      "/auth/refresh/"
[GIN] 2022/07/11 - 10:29:39 | 200 |      8.7534ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:29:39 | 200 |      8.6009ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:29:39 | 200 |     16.4262ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:29:45 | 200 |     24.1442ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:30:04 | 200 |      7.9492ms |     172.21.96.1 | PATCH    "/task_batch/cb42c8f3-baa1-4996-a5c9-61e43ad59174/"
[GIN] 2022/07/11 - 10:30:04 | 200 |     45.2216ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:32:28 | 200 |     10.3891ms |     172.21.96.1 | PATCH    "/task_batch/3767749a-2c5e-4ac1-b405-244bb480a5a0/"
[GIN] 2022/07/11 - 10:32:28 | 200 |     94.3093ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:34:48 | 200 |      6.6986ms |     172.21.96.1 | PATCH    "/task_batch/209c4ca3-cf66-463b-96d0-7df544d33e7f/"
[GIN] 2022/07/11 - 10:34:48 | 200 |     30.3351ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:36:10 | 200 |      4.6697ms |     172.21.96.1 | POST     "/line/"
