[GIN] 2022/07/14 - 18:34:10 | 200 |    8.231458ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:34:47 | 200 |     19.6085ms |  192.168.50.227 | PATCH    "/task_batch/fd479805-ae5d-4c8f-a821-4d3c238087f3/"
[GIN] 2022/07/14 - 18:34:47 | 200 |    8.198708ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:35:19 | 200 |    2.309708ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:35:19 | 200 |      1.8185ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:35:19 | 200 |    8.042875ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:35:20 | 200 |    8.111292ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:35:32 | 200 |   20.464917ms |  192.168.50.227 | PATCH    "/task_batch/e4d613be-8815-4a48-b0be-409e1e18e7d4/"
[GIN] 2022/07/14 - 18:35:32 | 200 |   10.028958ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:36:41 | 200 |    2.378375ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:36:41 | 200 |    1.824541ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:36:41 | 200 |    7.505541ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:36:42 | 200 |    7.787583ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:38:35 | 200 |    3.201584ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:38:35 | 200 |    2.336167ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:38:35 | 200 |      8.1405ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:38:37 | 200 |    7.758417ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:38:43 | 200 |   21.097833ms |  192.168.50.227 | PATCH    "/task_batch/a03d19f1-134e-4172-b4d1-efb2fe60cb41/"
