[GIN] 2022/07/16 - 13:44:38 | 200 |   16.299541ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:44:39 | 200 |     12.8855ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 13:44:39 | 200 |    4.571709ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:44:39 | 200 |      2.5605ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 13:44:39 | 200 |    3.254417ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:47:27 | 200 |    3.334083ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:47:27 | 200 |    2.230542ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:47:27 | 200 |    11.38225ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:47:28 | 200 |      12.252ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 13:47:28 | 200 |    3.402542ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:47:28 | 200 |    2.222334ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 13:47:28 | 200 |    3.078916ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:50:22 | 200 |   11.715625ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:50:22 | 200 |    3.458167ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:50:22 | 200 |    11.82925ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:50:23 | 200 |   11.227583ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 13:50:23 | 200 |   21.397917ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:50:23 | 200 |    5.869416ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 13:50:23 | 200 |    3.583209ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:52:38 | 200 |     3.46825ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:52:38 | 200 |    8.324333ms |  192.168.50.227 | POST     "/job/"
[GIN] 2022/07/16 - 13:52:38 | 200 |    3.764375ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:52:42 | 200 |    3.143792ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:52:42 | 200 |    2.447375ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:52:42 | 200 |   11.432125ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:52:43 | 200 |   12.175084ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 13:52:43 | 200 |    4.177458ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:52:43 | 200 |    4.249833ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 13:52:43 | 200 |    3.314667ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:53:55 | 200 |     5.58425ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:53:55 | 200 |      4.2955ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:53:55 | 200 |   13.348833ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:53:56 | 200 |   11.029416ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 13:53:56 | 200 |    3.909042ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:53:56 | 200 |    8.812667ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 13:53:56 | 200 |    3.159125ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:54:03 | 200 |    4.487208ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:54:03 | 200 |    2.976083ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:54:03 | 200 |   17.343625ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:54:04 | 200 |    2.513959ms |  192.168.50.227 | GET      "/task_batch/fd37e516-63b6-4f76-9687-ff35b789c43a/"
[GIN] 2022/07/16 - 13:54:04 | 200 |    3.669583ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:54:04 | 200 |    1.139458ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 13:54:04 | 200 |    1.974167ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:54:10 | 200 |    3.604667ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:54:10 | 200 |    2.570541ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:54:10 | 200 |   11.100334ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:54:11 | 200 |   14.015333ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 13:54:11 | 200 |       3.752ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:54:11 | 200 |      3.7955ms |  192.168.50.227 | POST     "/device_data/"
