[GIN] 2022/07/28 - 13:19:47 | 400 |      1.1288ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       570.8µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       776.6µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       643.5µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |         644µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       699.5µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       898.1µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       674.3µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |      1.4365ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |      1.4179ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       688.1µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       548.9µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |      1.2911ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |      1.3299ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       538.6µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |         906µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |         1.1ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       643.5µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       901.8µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       898.4µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       865.8µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       745.4µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       610.5µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       549.7µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       472.4µs |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |       665.4µs |    172.30.128.1 | POST     "/sku/create/multi/"
